city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount
1,50,1,1,0,1,acept,not furnished,1300
1,120,2,3,2,20,acept,not furnished,7000
0,236,3,4,4,10,acept,not furnished,11000
0,30,1,1,0,4,acept,not furnished,550
0,270,3,3,0,0,acept,furnished,8000
0,48,1,1,0,9,acept,not furnished,670
0,198,6,3,4,0,acept,not furnished,2000
1,50,1,1,0,0,acept,not furnished,1080
1,185,3,3,3,20,acept,not furnished,5600
1,440,4,4,4,0,acept,not furnished,12000
0,119,3,2,2,7,acept,not furnished,1200
1,57,2,2,2,16,acept,not furnished,1690
1,65,2,1,1,1,acept,not furnished,1400
1,35,2,1,1,0,acept,not furnished,2100
0,51,1,2,1,16,not acept,not furnished,2100
0,70,2,3,1,7,acept,not furnished,2004
1,90,2,1,1,0,acept,not furnished,1500
1,320,3,4,3,8,acept,not furnished,6800
1,250,7,5,2,0,acept,not furnished,12750
1,70,2,1,1,6,acept,not furnished,3800
1,169,4,6,3,7,acept,furnished,10000
1,33,1,1,0,1,not acept,not furnished,1100
1,225,4,4,3,7,acept,not furnished,5000
1,42,1,1,0,2,acept,furnished,3256
1,120,3,4,1,0,not acept,not furnished,4000
1,70,3,2,2,3,not acept,not furnished,1500
1,90,1,1,2,0,acept,furnished,3200
1,260,4,5,4,9,acept,furnished,3300
1,243,3,3,4,10,acept,not furnished,5500
1,100,1,1,0,0,acept,not furnished,1530
1,240,3,4,3,9,acept,not furnished,5100
0,45,1,1,1,4,acept,not furnished,870
1,65,1,1,1,2,acept,furnished,5000
1,47,1,1,0,4,not acept,not furnished,1000
1,60,2,1,0,2,acept,furnished,3300
1,340,4,6,6,0,acept,furnished,15000
1,500,4,4,0,0,acept,not furnished,6000
1,55,2,1,1,14,acept,not furnished,1399
1,240,3,4,3,3,acept,furnished,4950
1,65,2,2,1,1,acept,not furnished,2315
1,68,1,1,0,0,not acept,not furnished,1213
1,500,4,4,3,0,acept,not furnished,10800
1,198,2,2,2,13,acept,not furnished,5500
1,62,2,1,1,13,acept,not furnished,2200
1,60,2,2,1,4,acept,not furnished,2806
1,187,3,2,3,0,not acept,furnished,8400
1,25,1,1,0,23,acept,not furnished,2200
1,230,3,4,3,0,acept,not furnished,3600
1,17,1,1,0,1,not acept,furnished,2400
1,67,2,2,1,17,acept,not furnished,2200
1,20,1,1,0,1,acept,furnished,2060
1,118,3,2,2,7,acept,furnished,8500
1,43,1,1,1,2,acept,not furnished,2430
1,195,2,3,1,10,acept,not furnished,6000
1,141,3,4,3,7,not acept,not furnished,7500
1,45,1,1,1,1,not acept,not furnished,2300
1,48,1,1,1,19,acept,not furnished,1525
1,280,3,4,2,3,not acept,not furnished,6000
1,170,3,2,2,5,not acept,not furnished,5000
1,90,3,2,1,0,acept,not furnished,3260
0,35,1,1,1,7,acept,not furnished,1100
1,16,1,1,0,8,not acept,not furnished,2300
0,68,1,1,1,10,not acept,furnished,1000
1,80,3,5,2,4,not acept,not furnished,12000
1,190,3,2,1,6,acept,furnished,8000
1,150,3,4,2,0,not acept,not furnished,3400
1,112,3,3,2,12,acept,furnished,2670
1,145,3,4,3,1,not acept,not furnished,6000
0,47,1,1,1,8,acept,not furnished,1100
1,128,3,2,1,3,acept,furnished,4529
1,250,3,4,4,0,acept,not furnished,4500
1,120,3,1,0,2,acept,not furnished,1460
1,110,2,2,2,0,not acept,not furnished,2700
1,400,2,5,4,0,acept,not furnished,6000
1,35,1,1,1,9,not acept,furnished,2600
1,107,2,2,2,18,acept,furnished,12800
1,97,2,2,0,1,acept,not furnished,5600
1,70,2,1,0,1,not acept,not furnished,1050
1,20,1,1,0,3,not acept,furnished,3142
1,130,3,2,2,6,acept,not furnished,3500
1,120,3,2,3,16,acept,not furnished,2000
1,110,3,3,2,2,acept,furnished,3800
1,300,3,5,3,0,acept,not furnished,11900
1,349,4,5,4,8,not acept,not furnished,11000
1,97,3,2,2,1,acept,not furnished,3000
1,84,4,1,3,5,not acept,not furnished,6000
1,180,2,2,1,0,not acept,not furnished,2800
1,286,4,4,5,0,acept,not furnished,10000
1,500,5,7,5,22,acept,not furnished,14000
1,110,3,3,3,4,acept,not furnished,2350
1,196,4,4,0,11,acept,not furnished,6000
1,33,1,1,1,12,not acept,not furnished,4150
1,400,4,4,3,0,acept,not furnished,9000
1,170,2,1,0,1,acept,furnished,2481
1,90,1,1,0,0,acept,not furnished,2200
1,184,3,4,3,12,acept,not furnished,1400
1,117,2,2,1,11,not acept,furnished,7130
1,11,1,1,0,0,not acept,furnished,1181
0,57,1,1,1,2,acept,not furnished,800
1,16,1,1,0,1,not acept,not furnished,850
1,180,4,3,1,4,acept,furnished,5000
1,250,3,4,2,16,acept,not furnished,6000
1,220,3,4,2,0,acept,furnished,7000
1,360,3,5,4,22,acept,not furnished,3135
1,122,3,4,3,5,acept,not furnished,4500
1,138,3,4,3,2,not acept,not furnished,7000
1,110,3,1,1,1,acept,not furnished,1400
1,220,4,3,3,3,acept,not furnished,3400
1,118,3,2,1,11,not acept,not furnished,4775
1,180,2,2,1,15,acept,not furnished,5350
1,52,2,1,1,7,acept,not furnished,1300
1,30,1,1,0,1,acept,furnished,1550
1,160,3,3,2,5,acept,furnished,1500
0,209,3,3,2,0,not acept,not furnished,2550
1,450,5,5,6,0,acept,not furnished,9500
1,117,3,3,3,10,acept,not furnished,2300
1,900,4,6,8,0,acept,not furnished,15000
1,200,3,3,0,0,acept,not furnished,4500
1,128,3,3,2,10,acept,not furnished,3800
1,140,3,2,2,2,acept,not furnished,3700
1,180,3,3,4,27,acept,not furnished,7000
1,280,4,4,5,9,acept,not furnished,3200
1,420,4,6,4,8,acept,not furnished,15000
1,48,1,1,1,8,acept,furnished,2700
1,148,3,2,2,2,not acept,furnished,9000
1,75,2,1,1,5,not acept,not furnished,2000
1,44,1,1,0,1,not acept,not furnished,3016
1,35,1,1,0,0,acept,not furnished,1100
1,320,4,2,2,0,acept,furnished,8000
0,98,3,2,1,1,acept,not furnished,1233
0,51,1,1,0,12,not acept,furnished,1300
1,322,4,5,5,17,acept,furnished,15000
1,187,4,5,3,5,acept,not furnished,5300
1,62,3,2,1,6,not acept,furnished,4800
1,130,2,2,1,0,acept,not furnished,4300
0,600,4,6,3,0,acept,not furnished,5500
1,520,3,4,2,0,acept,not furnished,9000
1,86,1,2,1,13,acept,furnished,6500
1,72,2,2,1,6,acept,not furnished,5431
1,550,4,4,4,0,acept,not furnished,14000
1,50,1,1,0,0,not acept,not furnished,1220
1,298,5,3,3,0,acept,not furnished,8000
0,74,3,2,1,10,acept,not furnished,1800
1,41,1,1,0,17,acept,furnished,2470
0,80,3,2,2,2,acept,not furnished,1450
1,130,3,2,1,1,acept,not furnished,4500
1,64,1,2,2,15,acept,not furnished,2100
1,50,1,1,1,9,not acept,not furnished,2730
1,200,3,2,4,0,acept,not furnished,3500
1,70,1,1,2,9,acept,furnished,7000
0,41,1,1,1,11,acept,not furnished,1950
1,89,2,2,0,2,acept,not furnished,1900
1,250,4,2,8,0,acept,not furnished,13040
1,105,2,1,0,0,acept,not furnished,1800
1,150,2,2,1,0,acept,not furnished,2100
1,50,2,1,1,14,not acept,not furnished,1950
1,180,3,2,1,0,acept,not furnished,5400
1,50,1,1,0,0,not acept,not furnished,1000
0,70,1,1,2,0,acept,not furnished,1450
1,177,2,2,2,0,acept,not furnished,6000
1,177,4,5,4,12,acept,not furnished,9200
1,18,1,1,0,0,acept,not furnished,1710
1,200,3,4,2,0,acept,not furnished,2900
1,45,1,1,1,1,not acept,furnished,5520
0,70,2,1,1,3,acept,not furnished,750
1,66,3,2,1,9,acept,not furnished,2179
1,48,2,1,0,2,acept,not furnished,1150
1,515,5,4,3,5,acept,not furnished,15000
1,55,2,2,1,7,acept,not furnished,2000
1,350,4,5,2,0,acept,not furnished,5000
1,260,3,3,3,8,acept,furnished,5000
1,78,2,1,1,7,acept,not furnished,2000
1,35,1,1,0,6,acept,furnished,1780
1,106,2,1,2,0,not acept,not furnished,2100
1,500,3,3,5,0,acept,furnished,15000
1,38,1,1,0,0,not acept,not furnished,1650
1,153,2,2,1,15,acept,furnished,11900
1,64,2,2,2,5,acept,not furnished,1600
1,260,3,4,4,0,acept,not furnished,4500
0,50,1,1,1,11,acept,not furnished,500
1,170,3,2,1,14,acept,furnished,4500
1,120,2,2,2,15,acept,furnished,4880
1,700,4,5,2,10,acept,furnished,8000
1,270,5,7,2,0,acept,not furnished,3978
1,40,1,1,0,6,acept,not furnished,3463
1,640,4,4,4,12,acept,furnished,10200
1,40,1,1,0,0,acept,not furnished,980
1,40,2,1,0,3,acept,not furnished,1100
1,42,1,1,1,0,acept,furnished,2000
1,62,1,1,0,3,acept,not furnished,2100
1,106,2,3,2,18,not acept,furnished,5000
1,103,3,2,1,7,acept,not furnished,4400
1,360,3,5,3,13,acept,not furnished,8500
1,113,1,1,2,9,acept,furnished,6400
1,164,4,4,3,1,acept,not furnished,6000
1,110,3,2,3,0,acept,not furnished,2800
1,110,2,2,1,8,acept,furnished,4348
1,136,4,3,1,3,acept,not furnished,4200
0,65,1,1,1,9,acept,not furnished,1200
1,62,2,1,1,8,not acept,not furnished,1345
0,163,3,5,3,20,acept,not furnished,9800
1,47,2,1,1,12,acept,not furnished,1570
1,50,1,1,1,1,acept,not furnished,3500
1,79,3,2,2,6,acept,furnished,3000
1,250,3,3,2,7,not acept,furnished,5380
1,50,2,1,1,6,acept,not furnished,1210
1,150,3,3,2,0,acept,not furnished,5000
0,76,2,1,0,2,acept,not furnished,700
1,72,2,2,1,7,acept,not furnished,1800
1,35,1,1,1,17,acept,furnished,4000
1,250,3,4,4,16,acept,not furnished,10700
0,85,3,1,1,9,not acept,not furnished,1110
0,60,1,1,1,14,acept,not furnished,1100
0,47,2,1,1,0,acept,not furnished,1290
1,104,3,3,2,3,not acept,furnished,9000
0,203,3,1,2,0,acept,not furnished,3300
1,136,3,2,1,85,acept,not furnished,3500
1,53,1,1,1,3,acept,not furnished,4500
1,400,4,3,2,0,acept,not furnished,15000
1,40,1,1,1,14,acept,furnished,4200
1,38,1,1,0,6,acept,not furnished,1680
1,340,4,6,4,8,acept,furnished,2800
0,134,3,3,2,7,not acept,not furnished,2500
1,97,2,2,0,9,acept,furnished,3000
1,90,1,1,0,0,not acept,not furnished,1150
1,260,4,5,2,1,acept,furnished,8000
1,66,2,1,0,7,acept,not furnished,1650
1,92,2,1,1,12,not acept,not furnished,2930
1,92,3,3,1,3,acept,furnished,4250
1,155,3,4,2,14,acept,not furnished,13100
1,30,1,1,0,1,not acept,not furnished,900
1,27,1,1,0,5,not acept,not furnished,3500
1,175,4,3,2,0,acept,not furnished,3200
1,326,3,4,4,12,acept,not furnished,6500
1,236,4,5,4,7,acept,not furnished,10000
0,119,3,1,1,5,acept,not furnished,1200
1,23,1,1,0,23,acept,not furnished,2050
1,260,2,4,4,19,not acept,not furnished,8000
1,400,3,3,2,0,not acept,not furnished,12000
1,87,1,1,2,14,acept,furnished,7900
1,65,2,1,1,0,acept,not furnished,1800
1,210,3,4,4,11,acept,furnished,15000
1,250,3,4,2,0,acept,not furnished,4200
1,155,3,2,3,4,acept,furnished,11700
0,300,4,3,5,0,acept,not furnished,4100
0,70,3,2,2,4,acept,not furnished,1800
1,68,1,2,1,11,acept,not furnished,4500
0,220,3,5,3,4,not acept,furnished,7900
0,91,3,2,2,12,acept,not furnished,2250
0,230,4,4,8,0,acept,not furnished,5100
0,48,2,1,0,4,acept,not furnished,950
1,90,2,2,2,15,not acept,furnished,10000
1,60,1,1,1,15,acept,furnished,5500
1,450,4,4,3,14,acept,not furnished,15000
1,16,1,1,0,1,not acept,not furnished,850
1,100,3,2,1,8,acept,not furnished,1400
1,300,3,3,3,0,acept,not furnished,3400
1,151,3,4,3,14,not acept,furnished,6800
1,150,3,4,3,12,acept,furnished,7608
1,57,2,1,1,7,acept,not furnished,1500
1,30,1,1,1,4,not acept,furnished,1200
0,53,1,1,1,8,acept,furnished,3110
1,270,3,4,3,0,acept,not furnished,6800
1,78,2,2,2,8,acept,furnished,5800
1,20,1,1,0,1,not acept,furnished,3142
1,140,5,2,1,1,acept,furnished,3999
1,155,3,3,2,2,acept,furnished,12000
1,118,3,2,4,1,acept,not furnished,2250
0,235,4,4,3,13,acept,not furnished,5500
1,400,4,4,4,9,acept,not furnished,9000
1,80,2,2,1,6,not acept,not furnished,3500
1,50,1,1,0,2,not acept,furnished,3100
0,55,2,2,1,9,acept,not furnished,2500
1,400,4,4,4,0,acept,not furnished,8500
1,63,3,2,0,18,acept,not furnished,1800
1,325,4,3,2,3,acept,not furnished,8500
1,200,3,3,2,7,not acept,furnished,6000
1,58,2,2,1,5,acept,furnished,5000
1,180,3,2,3,0,acept,not furnished,4600
1,159,3,2,0,5,acept,not furnished,4507
1,420,4,3,4,0,acept,not furnished,15000
1,88,3,1,2,5,acept,not furnished,1500
0,70,3,1,1,6,acept,not furnished,1135
1,246,4,5,4,12,not acept,not furnished,10000
1,53,2,1,1,1,acept,not furnished,1250
1,22,1,1,1,19,not acept,not furnished,2200
1,80,1,1,0,0,acept,not furnished,1700
1,30,1,1,1,11,acept,furnished,2570
0,157,3,5,3,1,acept,not furnished,7000
1,450,3,3,8,0,acept,furnished,5015
1,90,3,2,0,0,acept,not furnished,2572
1,88,2,1,0,7,not acept,not furnished,1800
0,46,1,1,0,5,acept,furnished,1950
1,189,4,2,2,4,acept,not furnished,8000
1,49,2,1,1,10,not acept,not furnished,1250
1,180,3,2,2,2,acept,not furnished,7000
1,128,3,3,2,1,acept,not furnished,7000
1,60,2,2,0,0,acept,not furnished,1300
1,74,3,2,1,7,acept,not furnished,1710
1,80,1,1,1,10,acept,not furnished,2500
1,150,3,2,1,0,acept,not furnished,2500
1,70,3,2,1,3,acept,not furnished,1900
1,113,3,2,2,2,acept,not furnished,4800
0,50,1,1,0,0,acept,not furnished,880
1,300,4,2,2,1,acept,furnished,6500
1,140,2,3,1,3,acept,furnished,5000
1,300,4,5,1,8,acept,furnished,8550
1,350,5,4,8,0,not acept,not furnished,9000
1,78,2,1,1,0,acept,not furnished,1700
0,110,2,2,0,18,acept,furnished,4200
1,423,4,5,7,28,acept,not furnished,14000
1,110,1,1,0,20,acept,not furnished,3182
1,136,2,4,2,7,acept,not furnished,4800
1,56,2,1,1,3,acept,not furnished,1700
1,20,1,1,0,3,acept,furnished,2800
1,115,3,2,2,8,acept,not furnished,2900
1,140,2,2,1,3,not acept,not furnished,12500
1,64,2,1,1,2,acept,not furnished,1400
1,60,2,1,1,15,acept,furnished,2500
1,132,3,2,1,11,acept,not furnished,2800
1,210,4,3,3,11,acept,not furnished,4000
1,300,4,4,3,0,acept,furnished,5080
1,130,3,2,2,0,acept,not furnished,3300
1,108,2,4,2,7,acept,not furnished,4430
1,75,2,2,1,4,acept,not furnished,3005
1,250,3,3,3,0,acept,not furnished,4500
0,55,1,1,0,5,acept,not furnished,500
1,129,3,2,3,5,not acept,furnished,2950
1,158,4,4,3,5,acept,not furnished,6600
1,100,3,3,2,1,acept,not furnished,3248
1,130,3,2,3,0,acept,furnished,7450
1,25,1,1,0,0,acept,not furnished,1200
1,240,3,2,3,0,acept,not furnished,9265
1,196,3,4,2,1,not acept,not furnished,3300
1,39,1,1,1,5,acept,not furnished,3300
0,46,2,1,1,3,acept,not furnished,970
1,120,3,2,0,1,acept,not furnished,2500
1,270,2,2,3,17,acept,not furnished,8650
1,700,4,10,0,0,acept,not furnished,15000
0,462,4,7,4,0,acept,not furnished,5000
1,35,1,1,1,9,acept,furnished,3150
1,90,3,3,2,12,not acept,not furnished,3500
1,98,3,2,2,1,acept,not furnished,1760
1,159,2,2,1,8,acept,furnished,4200
1,115,3,5,2,10,acept,not furnished,7000
1,400,3,3,1,3,acept,not furnished,11000
0,60,2,1,1,9,not acept,not furnished,1317
1,220,3,4,3,11,acept,furnished,8000
1,67,2,1,1,4,acept,not furnished,2099
1,165,3,4,3,7,acept,not furnished,4500
1,100,2,4,0,1,acept,not furnished,3000
1,55,1,2,1,2,acept,not furnished,2576
0,35,1,1,1,2,acept,not furnished,600
1,51,1,1,1,10,acept,furnished,3700
1,73,2,2,1,13,acept,not furnished,1250
1,320,5,5,4,4,acept,not furnished,5500
1,35,1,1,1,7,acept,not furnished,2300
1,46,1,1,0,3,acept,not furnished,1600
0,350,4,3,4,0,not acept,not furnished,6000
1,340,4,4,3,2,acept,not furnished,14000
1,28,1,1,1,4,not acept,furnished,1899
1,125,3,2,2,0,acept,furnished,3000
1,44,1,1,1,3,acept,not furnished,3450
1,95,2,1,1,15,acept,not furnished,3000
1,310,3,4,3,8,acept,not furnished,4500
1,48,2,1,0,3,acept,not furnished,1350
1,30,4,4,2,0,acept,furnished,5000
0,46,1,1,1,10,acept,not furnished,580
1,141,3,2,2,4,acept,not furnished,7400
1,58,1,1,1,17,acept,not furnished,1600
1,48,2,1,0,0,acept,not furnished,1350
1,560,5,5,6,0,acept,not furnished,15000
1,98,3,2,1,9,acept,not furnished,5500
1,340,3,4,4,2,not acept,not furnished,12500
1,224,4,4,3,2,acept,furnished,9350
0,50,1,1,1,3,acept,not furnished,800
1,250,3,4,3,8,acept,not furnished,7000
1,100,2,2,1,6,acept,not furnished,4000
1,600,3,3,4,0,acept,not furnished,6800
0,114,3,2,1,4,acept,not furnished,1400
0,67,2,1,1,2,acept,not furnished,1230
1,160,4,3,2,9,acept,furnished,10330
1,130,2,2,1,17,acept,not furnished,5600
1,114,1,1,1,6,acept,not furnished,2800
1,52,2,1,1,4,acept,not furnished,1450
1,31,1,1,0,6,acept,furnished,2300
1,78,2,1,1,1,acept,not furnished,2500
1,60,2,2,1,3,acept,furnished,5700
1,40,1,1,0,5,acept,not furnished,2390
1,145,4,4,3,14,acept,not furnished,4500
1,127,2,3,2,2,acept,not furnished,6900
1,330,4,5,4,13,acept,not furnished,10000
0,180,4,3,1,11,not acept,not furnished,1800
1,120,4,3,2,13,acept,furnished,3500
1,40,1,1,1,10,not acept,furnished,2200
1,160,4,4,2,0,acept,not furnished,2400
0,130,3,2,2,4,acept,furnished,2800
1,80,2,1,1,2,acept,not furnished,2950
1,112,3,4,3,9,acept,not furnished,2800
1,30,1,1,1,10,not acept,not furnished,1500
1,184,4,3,3,2,acept,furnished,4500
1,56,2,1,1,11,acept,furnished,2500
1,40,1,1,1,6,not acept,furnished,3000
1,65,2,2,1,7,acept,not furnished,1800
1,146,3,2,2,14,acept,furnished,3500
0,60,2,1,1,3,acept,not furnished,1299
1,170,3,2,2,4,acept,furnished,9000
1,240,4,4,4,8,acept,furnished,2890
1,200,4,2,2,0,acept,furnished,6500
1,69,2,1,1,3,acept,not furnished,1550
1,224,3,4,2,9,acept,not furnished,6000
1,109,3,2,2,20,acept,furnished,4500
1,50,2,1,2,9,not acept,not furnished,2300
0,59,2,1,1,5,acept,not furnished,1290
1,162,2,3,3,3,not acept,furnished,15000
0,93,3,2,1,7,acept,not furnished,1100
1,580,6,6,6,0,acept,not furnished,6960
1,216,3,4,2,10,acept,not furnished,5500
1,90,2,1,0,9,not acept,not furnished,3850
1,200,3,3,2,7,acept,not furnished,7225
0,55,1,1,0,4,acept,not furnished,750
1,40,1,1,1,3,not acept,not furnished,2300
1,87,3,3,2,12,not acept,furnished,3500
1,60,2,1,0,0,acept,not furnished,1600
1,70,3,2,1,7,acept,not furnished,1825
1,243,2,3,2,0,acept,not furnished,4619
1,78,1,1,2,8,not acept,furnished,6000
1,103,2,1,0,0,acept,not furnished,1300
1,72,3,2,1,3,not acept,not furnished,1750
1,95,1,2,2,15,acept,not furnished,8000
1,135,3,2,2,9,acept,not furnished,4200
1,310,5,4,5,3,acept,not furnished,3200
1,68,2,2,1,18,not acept,furnished,2565
1,360,4,5,4,12,acept,not furnished,6593
1,420,4,4,4,9,acept,not furnished,15000
1,266,3,5,1,15,acept,furnished,4320
1,172,3,4,3,5,acept,furnished,7800
1,240,3,5,4,0,acept,not furnished,7500
0,108,1,3,2,9,acept,not furnished,4500
1,50,1,1,0,12,acept,furnished,1800
1,180,3,3,2,1,acept,not furnished,4400
0,380,4,6,3,0,acept,not furnished,4000
1,125,3,4,0,2,not acept,not furnished,2500
1,50,2,2,1,12,acept,not furnished,1395
1,382,3,4,2,11,acept,not furnished,14000
1,51,1,1,0,9,acept,not furnished,1700
1,128,2,2,0,9,acept,not furnished,2700
0,51,1,1,0,3,acept,not furnished,820
0,45,1,1,0,11,not acept,furnished,500
1,300,4,5,4,0,acept,furnished,14000
1,180,3,1,0,0,acept,not furnished,2500
1,120,3,2,1,17,acept,not furnished,2000
1,87,3,2,0,6,acept,not furnished,2000
1,116,2,2,2,8,not acept,furnished,8000
1,200,4,2,1,5,acept,not furnished,5000
1,556,6,7,4,0,acept,not furnished,7500
0,62,2,2,2,5,acept,not furnished,3000
1,63,2,2,1,19,acept,furnished,11000
1,96,3,1,1,5,acept,furnished,3550
1,61,2,2,1,1,acept,not furnished,2000
1,266,4,5,4,7,acept,not furnished,10900
0,48,1,1,0,4,not acept,furnished,1500
1,33,2,1,0,12,acept,furnished,2850
1,150,2,2,3,2,not acept,furnished,8000
1,175,3,2,2,0,not acept,not furnished,3900
1,108,3,4,0,4,acept,not furnished,3500
1,100,4,5,4,1,acept,not furnished,3250
1,81,1,1,1,8,acept,not furnished,1150
1,29,1,1,0,5,acept,not furnished,1043
1,60,2,2,1,13,acept,not furnished,1700
1,70,2,1,1,19,acept,not furnished,1700
1,130,2,2,0,6,acept,not furnished,3974
1,83,3,2,2,25,acept,furnished,2600
1,320,3,4,2,0,acept,furnished,5500
0,87,3,2,1,4,acept,not furnished,640
1,240,2,3,1,3,acept,furnished,6500
1,108,3,3,2,0,acept,not furnished,2800
1,160,3,2,1,5,acept,not furnished,7700
1,178,3,4,4,18,acept,not furnished,10000
1,116,3,2,3,11,acept,furnished,8000
1,82,2,2,1,7,acept,not furnished,2341
1,72,2,1,1,3,acept,not furnished,1300
1,160,3,2,2,13,acept,not furnished,3900
1,230,3,4,3,7,not acept,not furnished,8000
1,60,2,2,1,5,acept,furnished,2640
1,50,1,1,0,11,acept,furnished,3698
1,79,2,2,1,2,acept,furnished,2800
